file,min_move_m,original_points,cleaned_points,removed_points,kept_pct
10641416812.gpx,10.0,1380,448,932,32.464
10683256038.gpx,10.0,678,223,455,32.891
10736646593.gpx,10.0,901,310,591,34.406
11150022329.gpx,10.0,540,170,370,31.481
11155222732.gpx,10.0,2977,261,2716,8.767
11219908604.gpx,10.0,1123,289,834,25.735
11342039017.gpx,10.0,2426,629,1797,25.927
11350208148.gpx,10.0,2662,691,1971,25.958
11364977931.gpx,10.0,2539,636,1903,25.049
11365539772.gpx,10.0,1155,308,847,26.667
11442751660.gpx,10.0,5999,1432,4567,23.871
11451343201.gpx,10.0,40649,2175,38474,5.351
11468078246.gpx,10.0,1308,323,985,24.694
11483344542.gpx,10.0,3434,771,2663,22.452
11490180934.gpx,10.0,24927,2251,22676,9.03
11497457805.gpx,10.0,8017,1634,6383,20.382
11544250001.gpx,10.0,1854,577,1277,31.122
11576297216.gpx,10.0,55420,3570,51850,6.442
11599347399.gpx,10.0,5180,1255,3925,24.228
11615560239.gpx,10.0,44899,2307,42592,5.138
11640338563.gpx,10.0,16227,2081,14146,12.824
11670150528.gpx,10.0,35382,2722,32660,7.693
11708900147.gpx,10.0,19573,2279,17294,11.644
11724515044.gpx,10.0,39909,2082,37827,5.217
11760601318.gpx,10.0,23027,1144,21883,4.968
11771849885.gpx,10.0,52424,3795,48629,7.239
11825164511.gpx,10.0,25566,1319,24247,5.159
11834979896.gpx,10.0,65282,3251,62031,4.98
11881557979.gpx,10.0,2098,644,1454,30.696
12124548155.gpx,10.0,38277,2219,36058,5.797
12183688037.gpx,10.0,7629,264,7365,3.46
12183688279.gpx,10.0,13475,701,12774,5.202
12232458846.gpx,10.0,2315,676,1639,29.201
12462427568.gpx,10.0,9242,4069,5173,44.027
12497225331.gpx,10.0,610,206,404,33.77
12586171136.gpx,10.0,27204,11778,15426,43.295
12672054067.gpx,10.0,2374,683,1691,28.77
12930550126.gpx,10.0,314,134,180,42.675
12976564182.gpx,10.0,60842,5960,54882,9.796
14428288593.gpx,10.0,14630,1366,13264,9.337
14428290269.gpx,10.0,23653,1486,22167,6.283
14428290362.gpx,10.0,25812,1392,24420,5.393
14469649556.gpx,10.0,13833,1212,12621,8.762
14470732416.gpx,10.0,25122,1429,23693,5.688
14964983089.gpx,10.0,49154,2282,46872,4.643
15035074391.gpx,10.0,55146,1276,53870,2.314
15095512880.gpx,10.0,38361,2554,35807,6.658
15126389642.gpx,10.0,23830,2144,21686,8.997
15429093664.gpx,10.0,76757,2662,74095,3.468
16974246552.gpx,10.0,1515,458,1057,30.231
17591954449.gpx,10.0,985,283,702,28.731
18736016400.gpx,10.0,21346,768,20578,3.598
6789245985.gpx,10.0,2754,591,2163,21.46
6794177428.gpx,10.0,2295,617,1678,26.885
6808877290.gpx,10.0,2042,469,1573,22.968
6849982992.gpx,10.0,5907,1202,4705,20.349
6867803694.gpx,10.0,2473,566,1907,22.887
6873278872.gpx,10.0,2910,664,2246,22.818
6878462460.gpx,10.0,1845,519,1326,28.13
6883178704.gpx,10.0,2958,755,2203,25.524
6904679539.gpx,10.0,1961,609,1352,31.056
6932048190.gpx,10.0,5756,1503,4253,26.112
6941988157.gpx,10.0,2243,588,1655,26.215
7003567981.gpx,10.0,619,176,443,28.433
7003948470.gpx,10.0,4214,1141,3073,27.076
7004102109.gpx,10.0,592,177,415,29.899
7299966148.gpx,10.0,278,75,203,26.978
7328696502.gpx,10.0,3176,821,2355,25.85
7330878523.gpx,10.0,22070,2355,19715,10.671
7341655193.gpx,10.0,10258,973,9285,9.485
7342010815.gpx,10.0,6171,811,5360,13.142
7376267144.gpx,10.0,36852,2209,34643,5.994
7384533542.gpx,10.0,2489,756,1733,30.374
7405804035.gpx,10.0,44333,2313,42020,5.217
7411522309.gpx,10.0,6466,694,5772,10.733
7422428594.gpx,10.0,1132,374,758,33.039
7448687126.gpx,10.0,13131,1601,11530,12.193
7448687589.gpx,10.0,34764,2945,31819,8.471
7486642637.gpx,10.0,37898,1739,36159,4.589
7556217006.gpx,10.0,24394,948,23446,3.886
7644647754.gpx,10.0,1096,350,746,31.934
7738751339.gpx,10.0,1216,404,812,33.224
7755998667.gpx,10.0,1926,606,1320,31.464
7765863203.gpx,10.0,1413,391,1022,27.672
7958575030.gpx,10.0,988,288,700,29.15
8220862231.gpx,10.0,940,270,670,28.723
8228746818.gpx,10.0,903,263,640,29.125
8228840463.gpx,10.0,1194,399,795,33.417
8272471475.gpx,10.0,2551,676,1875,26.499
9380005819.gpx,10.0,26092,1776,24316,6.807
9414723561.gpx,10.0,18620,1821,16799,9.78
9458887440.gpx,10.0,13720,1220,12500,8.892
9509698747.gpx,10.0,5537,794,4743,14.34
9509710869.gpx,10.0,22682,2478,20204,10.925
9509712471.gpx,10.0,31136,2378,28758,7.637
9509712511.gpx,10.0,36635,2605,34030,7.111
9546661709.gpx,10.0,33970,1196,32774,3.521
9553230006.gpx,10.0,19833,1763,18070,8.889
9626441545.gpx,10.0,544,176,368,32.353
9635667947.gpx,10.0,1779,592,1187,33.277
9654720459.gpx,10.0,1319,412,907,31.236
9654918878.gpx,10.0,933,290,643,31.083
9669792871.gpx,10.0,900,290,610,32.222
9691368020.gpx,10.0,1784,479,1305,26.85
9699703644.gpx,10.0,1211,401,810,33.113
9705514595.gpx,10.0,2032,680,1352,33.465
9715325569.gpx,10.0,1762,627,1135,35.585
9719199506.gpx,10.0,726,228,498,31.405
9725239835.gpx,10.0,2083,675,1408,32.405
9735787968.gpx,10.0,1817,492,1325,27.078
9745691394.gpx,10.0,1567,520,1047,33.184
