file,slope_bin,elevation_bin,slope_angle_deg,midpoint_elevation_ft,rise_ft
BlackButte2024-09-07.gpx,0-10,8000-9500,7.633,8640,-17.59
BlackButte2024-09-07.gpx,0-10,8000-9500,0.916,8630,-2.1
BlackButte2024-09-07.gpx,0-10,8000-9500,1.432,8627,-3.28
BlackButte2024-09-07.gpx,0-10,8000-9500,3.559,8621,-8.16
BlackButte2024-09-07.gpx,0-10,8000-9500,7.37,8609,-16.97
BlackButte2024-09-07.gpx,0-10,8000-9500,1.917,8598,-4.39
BlackButte2024-09-07.gpx,0-10,8000-9500,0.0,8596,0.0
BlackButte2024-09-07.gpx,0-10,8000-9500,0.0,8596,0.0
BlackButte2024-09-07.gpx,0-10,8000-9500,1.432,8594,-3.28
BlackButte2024-09-07.gpx,0-10,8000-9500,1.575,8591,-3.61
BlackButte2024-09-07.gpx,0-10,8000-9500,0.719,8588,-1.65
BlackButte2024-09-07.gpx,0-10,8000-9500,0.862,8588,1.97
BlackButte2024-09-07.gpx,0-10,8000-9500,2.862,8593,6.56
BlackButte2024-09-07.gpx,0-10,8000-9500,1.432,8597,3.28
BlackButte2024-09-07.gpx,0-10,8000-9500,0.0,8599,0.0
BlackButte2024-09-07.gpx,0-10,8000-9500,0.948,8600,2.17
BlackButte2024-09-07.gpx,0-10,8000-9500,1.916,8603,4.39
BlackButte2024-09-07.gpx,0-10,8000-9500,0.44,8606,1.01
BlackButte2024-09-07.gpx,0-10,8000-9500,0.992,8608,2.27
BlackButte2024-09-07.gpx,0-10,8000-9500,1.31,8610,3.0
BlackButte2024-09-07.gpx,0-10,8000-9500,1.173,8613,2.69
BlackButte2024-09-07.gpx,0-10,8000-9500,1.814,8617,4.16
BlackButte2024-09-07.gpx,0-10,8000-9500,1.511,8620,3.46
BlackButte2024-09-07.gpx,0-10,8000-9500,3.734,8627,8.56
BlackButte2024-09-07.gpx,0-10,8000-9500,6.491,8638,14.93
BlackButte2024-09-07.gpx,0-10,8000-9500,8.874,8656,20.49
BlackButte2024-09-07.gpx,0-10,8000-9500,1.562,8668,3.58
BlackButte2024-09-07.gpx,0-10,8000-9500,2.385,8673,5.47
BlackButte2024-09-07.gpx,0-10,8000-9500,5.405,8681,12.42
BlackButte2024-09-07.gpx,10-20,8000-9500,10.241,8700,23.71
BlackButte2024-09-07.gpx,10-20,8000-9500,11.53,8725,26.77
BlackButte2024-09-07.gpx,10-20,8000-9500,13.059,8753,30.44
BlackButte2024-09-07.gpx,20-30,8000-9500,24.112,8798,58.74
BlackButte2024-09-07.gpx,10-20,8000-9500,12.375,8842,28.79
BlackButte2024-09-07.gpx,10-20,8000-9500,13.905,8872,32.49
BlackButte2024-09-07.gpx,10-20,8000-9500,15.284,8907,35.86
BlackButte2024-09-07.gpx,10-20,8000-9500,15.978,8943,37.58
BlackButte2024-09-07.gpx,10-20,8000-9500,14.22,8979,33.26
BlackButte2024-09-07.gpx,10-20,8000-9500,11.694,9009,27.16
BlackButte2024-09-07.gpx,0-10,8000-9500,5.748,9029,13.21
BlackButte2024-09-07.gpx,10-20,8000-9500,11.594,9049,26.92
BlackButte2024-09-07.gpx,0-10,8000-9500,7.706,9071,17.76
BlackButte2024-09-07.gpx,10-20,8000-9500,12.487,9095,29.06
BlackButte2024-09-07.gpx,10-20,8000-9500,11.21,9122,26.01
BlackButte2024-09-07.gpx,0-10,8000-9500,7.258,9144,16.71
BlackButte2024-09-07.gpx,0-10,8000-9500,7.384,9161,17.01
BlackButte2024-09-07.gpx,10-20,8000-9500,10.337,9181,23.94
BlackButte2024-09-07.gpx,0-10,8000-9500,2.787,9196,6.39
BlackButte2024-09-07.gpx,0-10,8000-9500,1.224,9201,2.8
BlackButte2024-09-07.gpx,0-10,8000-9500,0.66,9202,-1.51
BlackButte2024-09-07.gpx,0-10,8000-9500,6.955,9193,-16.01
BlackButte2024-09-07.gpx,10-20,8000-9500,10.739,9172,-24.89
BlackButte2024-09-07.gpx,0-10,8000-9500,7.488,9151,-17.25
BlackButte2024-09-07.gpx,0-10,8000-9500,7.601,9134,-17.51
BlackButte2024-09-07.gpx,0-10,8000-9500,7.375,9117,-16.99
BlackButte2024-09-07.gpx,0-10,8000-9500,8.349,9098,-19.26
BlackButte2024-09-07.gpx,0-10,8000-9500,8.536,9079,-19.7
BlackButte2024-09-07.gpx,0-10,8000-9500,8.918,9059,-20.59
BlackButte2024-09-07.gpx,0-10,8000-9500,8.826,9038,-20.38
BlackButte2024-09-07.gpx,0-10,8000-9500,8.434,9018,-19.46
BlackButte2024-09-07.gpx,10-20,8000-9500,16.988,8989,-40.09
BlackButte2024-09-07.gpx,10-20,8000-9500,19.823,8945,-47.31
BlackButte2024-09-07.gpx,10-20,8000-9500,19.657,8898,-46.88
BlackButte2024-09-07.gpx,10-20,8000-9500,18.186,8853,-43.11
BlackButte2024-09-07.gpx,10-20,8000-9500,11.702,8818,-27.18
BlackButte2024-09-07.gpx,10-20,8000-9500,12.602,8790,-29.34
BlackButte2024-09-07.gpx,10-20,8000-9500,10.655,8762,-24.69
BlackButte2024-09-07.gpx,10-20,8000-9500,14.265,8733,-33.37
BlackButte2024-09-07.gpx,0-10,8000-9500,6.906,8709,-15.89
BlackButte2024-09-07.gpx,0-10,8000-9500,5.321,8695,-12.22
BlackButte2024-09-07.gpx,0-10,8000-9500,4.957,8683,-11.38
BlackButte2024-09-07.gpx,0-10,8000-9500,6.417,8670,-14.76
BlackButte2024-09-07.gpx,0-10,8000-9500,6.13,8655,-14.09
BlackButte2024-09-07.gpx,0-10,8000-9500,4.22,8644,-9.68
BlackButte2024-09-07.gpx,0-10,8000-9500,4.123,8634,-9.46
BlackButte2024-09-07.gpx,0-10,8000-9500,3.37,8625,-7.73
BlackButte2024-09-07.gpx,0-10,8000-9500,2.124,8619,-4.87
BlackButte2024-09-07.gpx,0-10,8000-9500,0.959,8616,-2.2
