file,original_points,cleaned_points,removed_points,kept_pct
11442751660.gpx,1432,1432,0,100.0
11451343201.gpx,2175,2175,0,100.0
11468078246.gpx,323,323,0,100.0
11483344542.gpx,771,771,0,100.0
11490180934.gpx,2251,2251,0,100.0
11497457805.gpx,1634,1634,0,100.0
11544250001.gpx,577,577,0,100.0
11576297216.gpx,3570,3570,0,100.0
11599347399.gpx,1255,1255,0,100.0
11615560239.gpx,2307,2307,0,100.0
11640338563.gpx,2081,2081,0,100.0
11670150528.gpx,2722,2722,0,100.0
11708900147.gpx,2279,2279,0,100.0
11724515044.gpx,2082,2082,0,100.0
11760601318.gpx,1144,1144,0,100.0
11771849885.gpx,3795,3795,0,100.0
11825164511.gpx,1319,1319,0,100.0
11834979896.gpx,3251,3251,0,100.0
12124548155.gpx,2219,2219,0,100.0
12183688037.gpx,264,264,0,100.0
12183688279.gpx,701,701,0,100.0
14964983089.gpx,2282,2282,0,100.0
15035074391.gpx,1276,1276,0,100.0
15095512880.gpx,2554,2554,0,100.0
15126389642.gpx,2144,2144,0,100.0
15429093664.gpx,2662,2662,0,100.0
7299966148.gpx,75,75,0,100.0
7328696502.gpx,821,821,0,100.0
7330878523.gpx,2355,2355,0,100.0
7341655193.gpx,973,973,0,100.0
7342010815.gpx,811,811,0,100.0
7376267144.gpx,2209,2209,0,100.0
7384533542.gpx,756,756,0,100.0
7405804035.gpx,2313,2313,0,100.0
7411522309.gpx,694,694,0,100.0
7422428594.gpx,374,374,0,100.0
7448687126.gpx,1601,1601,0,100.0
7448687589.gpx,2945,2945,0,100.0
7486642637.gpx,1739,1739,0,100.0
7556217006.gpx,948,948,0,100.0
9380005819.gpx,1776,1776,0,100.0
9414723561.gpx,1821,1821,0,100.0
9458887440.gpx,1220,1220,0,100.0
9509698747.gpx,794,794,0,100.0
9509710869.gpx,2478,2478,0,100.0
9509712471.gpx,2378,2378,0,100.0
9509712511.gpx,2605,2605,0,100.0
9546661709.gpx,1196,1196,0,100.0
9553230006.gpx,1763,1763,0,100.0
